Mnemonic      Mnemonic description
YEAR          GSS YEAR FOR THIS RESPONDENT
ID            RESPONDENT ID NUMBER
WRKSTAT       LABOR FORCE STATUS
HRS1          NUMBER OF HOURS WORKED LAST WEEK
HRS2          NUMBER OF HOURS USUALLY WORK A WEEK
EVWORK        EVER WORK AS LONG AS ONE YEAR
OCC           R'S CENSUS OCCUPATION CODE (1970)
PRESTIGE      R'S OCCUPATIONAL PRESTIGE SCORE(1970)
WRKSLF        R SELF-EMP OR WORKS FOR SOMEBODY
WRKGOVT       GOVT OR PRIVATE EMPLOYEE
COMMUTE       TRAVEL TIME TO WORK
INDUSTRY      R'S INDUSTRY CODE (1970)
OCC80         R'S CENSUS OCCUPATION CODE (1980)
PRESTG80      R'S OCCUPATIONAL PRESTIGE SCORE(1980)
INDUS80       R'S INDUSTRY CODE (1980)
INDUS07       INDUSTRY CODE BASED ON NAICS 2007
OCCONET       OCCUPATION CODE BASED ON O*NET
FOUND         CASE WAS RETRIEVABLE IN 2012
OCC10         R'S CENSUS OCCUPATION CODE (2010)
OCCINDV       R'S OCC/IND VERBATIM RETRIEVED
OCCSTATUS     OCC10 CODING STATUS
OCCTAG        OCC10 CODING TAG
PRESTG10      R'S OCCUPATIONAL PRESTIGE SCORE (2010)
PRESTG105PLUS R'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
INDUS10       R'S INDUSTRY CODE (NAICS 2007)
INDSTATUS     INDUS10 CODING STATUS
INDTAG        INDUS10 CODING TAG
MARITAL       MARITAL STATUS
MARTYPE       MARITAL TYPE
AGEWED        AGE WHEN FIRST MARRIED
DIVORCE       EVER BEEN DIVORCED OR SEPARATED
WIDOWED       EVER BEEN WIDOWED
SPWRKSTA      SPOUSE LABOR FORCE STATUS
SPHRS1        NUMBER OF HRS SPOUSE WORKED LAST WEEK
SPHRS2        NO. OF HRS SPOUSE USUALLY WORKS A WEEK
SPEVWORK      SPOUSE EVER WORK AS LONG AS A YEAR
COWRKSTA      PARTNER'S LABOR FORCE STATUS
COWRKSLF      PARTNER SELF-EMP. OR WORKS FOR SOMEBODY ELSE
COEVWORK      PARTNER EVER WORK AS LONG AS A YEAR
COHRS1        NUMBER OF HOURS PARTNER WORKED LAST WEEK
COHRS2        NO. OF HOURS PARTNER USUALLY WORKS A WEEK
SPOCC         SPOUSE CENSUS OCCUPATION CODE (1970)
SPPRES        SPOUSE'S OCCUPATIONAL PRESTIGE SCORE (1970)
SPWRKSLF      SPOUSE SELF-EMP. OR WORKS FOR SOMEBODY
SPIND         SPOUSE'S INDUSTRY CODE (1970)
SPOCC80       SPOUSE CENSUS OCCUPATION CODE (1980)
SPPRES80      SPOUSE'S OCCUPATIONAL PRESTIGE SCORE (1980)
                                             Page 2                              Index
SPIND80       SPOUSE'S INDUSTRY CODE (1980)
SPOCC10       SPOUSE CENSUS OCCUPATION CODE (2010)
SPOCCINDV     SPOUSE'S OCC/IND VERBATIM RETRIEVED
SPOCCSTATUS   SPOCC10 CODING STATUS
SPOCCTAG      SPOCC10 CODING TAG
SPPRES10      SPOUSE OCCUPATIONAL PRESTIGE SCORE (2010)
SPPRES105PLUS SPOUSE OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
SPIND10       SPOUSE'S INDUSTRY CODE (NAICS 2007)
SPINDSTATUS   SPIND10 CODING STATUS
SPINDTAG      SPIND10 CODING TAG
COOCC10       PARTNER'S CENSUS OCCUPATION CODE (2010)
COIND10       PARTNER'S INDUSTRY CODE (2010)
PAOCC16       FATHER'S CENSUS OCCUPATION CODE (1970)
PAPRES16      FATHER'S OCCUPATIONAL PRESTIGE SCORE (1970)
PAWRKSLF      FATHER SELF-EMP. OR WORKED FOR SOMEBODY
PAIND16       FATHER'S INDUSTRY CODE (1970)
PAOCC80       FATHER'S CENSUS OCCUPATION CODE (1980)
PAPRES80      FATHER'S OCCUPATIONAL PRESTIGE SCORE (1980)
PAIND80       FATHER'S INDUSTRY CODE (1980)
PAOCC10       FATHER'S CENSUS OCCUPATION CODE (2010)
PAOCCINDV     FATHER'S OCC/IND VERBATIM RETRIEVED
PAOCCSTATUS   PAOCC10 CODING STATUS
PAOCCTAG      PAOCC10 CODING TAG
PAPRES10      FATHER'S OCCUPATIONAL PRESTIGE SCORE (2010)
PAPRES105PLUS FATHER'S OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
PAIND10       FATHER'S INDUSTRY CODE (NAICS 2007)
PAINDSTATUS   PAIND10 CODING STATUS
PAINDTAG      PAIND10 CODING TAG
MAOCC80       MOTHERS CENSUS OCCUPATION CODE (1980)
MAPRES80      MOTHERS OCCUPATIONAL PRESTIGE SCORE (1980)
MAWRKSLF      MOTHER SELF-EMP. OR WORKED FOR SOMEBODY
MAIND80       MOTHERS INDUSTRY CODE (1980)
MAOCC10       MOTHERS CENSUS OCCUPATION CODE (2010)
MAOCCINDV     MOTHERS OCC/IND VERBATIM RETRIEVED
MAOCCSTATUS   MAOCC10 CODING STATUS
MAOCCTAG      MAOCC10 CODING TAG
MAPRES10      MOTHERS OCCUPATIONAL PRESTIGE SCORE (2010)
MAPRES105PLUS MOTHERS OCCUPATIONAL PRESTIGE SCORE USING THRESHOLD METHOD (2010)
MAIND10       MOTHERS INDUSTRY CODE (NAICS 2007)
MAINDSTATUS   MAIND10 CODING STATUS
MAINDTAG      MAIND10 CODING TAG
SIBS          NUMBER OF BROTHERS AND SISTERS
CHILDS        NUMBER OF CHILDREN
AGE           AGE OF RESPONDENT
AGEKDBRN      R'S AGE WHEN 1ST CHILD BORN
EDUC          HIGHEST YEAR OF SCHOOL COMPLETED
PAEDUC        HIGHEST YEAR SCHOOL COMPLETED, FATHER
MAEDUC        HIGHEST YEAR SCHOOL COMPLETED, MOTHER
SPEDUC        HIGHEST YEAR SCHOOL COMPLETED, SPOUSE
COEDUC        HIGHEST YEAR SCHOOL COMPLETED, PARTNER
