gssvar,s,q,r
ptsd2,2,2,3
ptsd5,2,1,3
ptsd7,3,,3
ptsd8,3,4,2
ptsd10,2,3,3
ptsd13,3,,1
ptsd14,4,,4
ptsd16,3,4,1
ptsd18,3,,3
ptsd19,3,3,1
ptsd20,2,2,3
ptsd22,2,1,3
ptsd24,3,4,2
ptsd25,3,2,3
ptsd27,2,1,3
ptsd29,3,2,2
ptsd30,2,2,5
ptsd34,3,3,4
ptsd37,4,2,2
ptsd40,3,4,4
ptsd47,2,1,3
ptsd50,2,,3
ptsd51,2,,2
ptsd52,2,4,4
ptsd56,3,1,2
ptsd61,4,2,4
ptsd63,2,,1
ptsd66,3,3,4
ptsd68,3,,2
ptsd71,2,,4
ptsd73,2,,3
ptsd75,2,3,3
ptsd77,3,3,1
ptsd79,3,,3
ptsd82,2,2,1
ptsd84,2,2,1
ptsd85,4,2,1
ptsd89,2,2,5
ptsd90,4,1,2
ptsd92,3,,3
ptsd93,3,,1
ptsd95,3,3,1
ptsd96,2,2,2
ptsd102,2,4,4
ptsd103,2,1,1
ptsd104,2,1,1
ptsd105,4,1,3
ptsd108,3,,1
ptsd109,3,,1
ptsd112,2,,3
ptsd113,1,,1
ptsd120,3,,1
ptsd122,2,4,1
ptsd123,3,4,1
ptsd126,2,4,1
ptsd127,3,3,3
ptsd130,4,1,2
ptsd132,4,,2
ptsd135,4,,1
ptsd136,4,3,4
ptsd137,3,4,1
ptsd139,2,,3
ptsd140,3,,5
ptsd142,3,5,1
ptsd144,3,,1
ptsd145,3,,1
ptsd146,4,,4
ptsd154,3,2,3
ptsd155,2,5,1
ptsd156,2,1,3
ptsd157,2,2,3
ptsd158,2,,3
ptsd159,3,3,5
ptsd160,3,3,2
ptsd164,4,3,3
ptsd165,3,,4
ptsd166,3,1,2
ptsd168,2,2,3
ptsd169,3,1,2
ptsd170,3,1,2
ptsd172,3,5,3
ptsd173,2,1,2
ptsd174,2,1,3
ptsd177,3,1,2
ptsd182,2,1,3
ptsd186,2,2,2
ptsd188,3,,2
ptsd191,3,3,3
ptsd192,2,3,2
ptsd193,2,,3
ptsd196,3,4,1
ptsd198,2,3,3
ptsd199,3,,2
ptsd203,4,,2
ptsd204,4,,4
ptsd205,3,4,4
ptsd206,3,4,5
ptsd207,3,1,4
ptsd210,4,3,5
