Sun Aug 15 22:13:48 CDT 2021
updating
4 pole features not found in sample features
midway2-0106.rcc.local:UCM:1b94:6b47d700: 1164124561 us(1164124561 us!!!):  ucm_recv: UNKNOWN msg 0x1af2068, ver 0
midway2-0106.rcc.local:UCM:1b95:ede1c700: 1164901240 us(1164901240 us!!!):  ucm_recv: UNKNOWN msg 0x2802c68, ver 0
midway2-0106.rcc.local:UCM:1b94:6b47d700: 1165104629 us(980068 us!!!):  ucm_recv: UNKNOWN msg 0x1af2168, ver 0
midway2-0106.rcc.local:UCM:1b96:3c550700: 1165522176 us(1165522176 us!!!):  ucm_recv: UNKNOWN msg 0x21d0e68, ver 0
midway2-0106.rcc.local:UCM:1b95:ede1c700: 1165707471 us(806231 us!!!):  ucm_recv: UNKNOWN msg 0x2802d68, ver 0
midway2-0106.rcc.local:UCM:1b94:6b47d700: 1165910895 us(806266 us!!!):  ucm_recv: UNKNOWN msg 0x1af2268, ver 0
midway2-0106.rcc.local:UCM:1b97:95f8f700: 1166166275 us(1166166275 us!!!):  ucm_recv: UNKNOWN msg 0x134ba68, ver 0
midway2-0106.rcc.local:UCM:1b96:3c550700: 1166366343 us(844167 us!!!):  ucm_recv: UNKNOWN msg 0x21d0f68, ver 0
midway2-0106.rcc.local:UCM:1b95:ede1c700: 1166551688 us(844217 us!!!):  ucm_recv: UNKNOWN msg 0x2802e68, ver 0
midway2-0106.rcc.local:UCM:1b98:7dbf0700: 1166702153 us(1166702153 us!!!):  ucm_recv: UNKNOWN msg 0x2029d68, ver 0
midway2-0106.rcc.local:UCM:1b96:3c550700: 1167122582 us(756239 us!!!):  ucm_recv: UNKNOWN msg 0x21d1068, ver 0
midway2-0106.rcc.local:UCM:1b97:95f8f700: 1167122674 us(956399 us!!!):  ucm_recv: UNKNOWN msg 0x134bb68, ver 0
midway2-0106.rcc.local:UCM:1b99:ee939700: 1167230351 us(1167230351 us!!!):  ucm_recv: UNKNOWN msg 0x1a4da68, ver 0
midway2-0106.rcc.local:UCM:1b94:6b47d700: 1167430650 us(1519755 us!!!):  ucm_recv: UNKNOWN msg 0x1af2368, ver 0
midway2-0106.rcc.local:UCM:1b98:7dbf0700: 1167622581 us(920428 us!!!):  ucm_recv: UNKNOWN msg 0x2029e68, ver 0
midway2-0106.rcc.local:UCM:1b97:95f8f700: 1167842889 us(720215 us!!!):  ucm_recv: UNKNOWN msg 0x134bc68, ver 0
midway2-0106.rcc.local:UCM:1b9a:78ca4700: 1167901646 us(1167901646 us!!!):  ucm_recv: UNKNOWN msg 0x150dc68, ver 0
midway2-0106.rcc.local:UCM:1b99:ee939700: 1168090611 us(860260 us!!!):  ucm_recv: UNKNOWN msg 0x1a4db68, ver 0
midway2-0106.rcc.local:UCM:1b95:ede1c700: 1168287678 us(1735990 us!!!):  ucm_recv: UNKNOWN msg 0x2802f68, ver 0
midway2-0106.rcc.local:UCM:1b98:7dbf0700: 1168482822 us(860241 us!!!):  ucm_recv: UNKNOWN msg 0x2029f68, ver 0
midway2-0106.rcc.local:UCM:1b9b:36d47700: 1168566631 us(1168566631 us!!!):  ucm_recv: UNKNOWN msg 0xecc868, ver 0
midway2-0106.rcc.local:UCM:1b96:3c550700: 1168776339 us(1653757 us!!!):  ucm_recv: UNKNOWN msg 0x21d1168, ver 0
